Orthogroup,camp,ecoli,pa,sam,staph,Total
OG0000537,0,1,0,5,0,6
OG0000538,0,1,2,1,2,6
OG0000539,0,1,1,3,1,6
OG0000540,0,2,1,3,0,6
OG0000541,0,4,0,2,0,6
OG0000542,0,1,4,1,0,6
OG0000543,0,2,1,2,1,6
OG0000544,0,2,1,2,1,6
OG0000545,0,2,1,2,1,6
OG0000546,0,3,0,2,1,6
OG0000547,0,2,2,1,1,6
OG0000548,0,2,0,3,1,6
OG0000549,0,1,3,1,1,6
OG0000550,0,1,2,2,1,6
OG0000551,0,2,0,4,0,6
OG0000552,0,2,0,4,0,6
OG0000553,0,2,4,0,0,6
OG0000554,0,2,0,4,0,6
OG0000555,0,1,4,1,0,6
OG0000556,0,1,3,2,0,6
OG0000557,0,2,1,1,2,6
OG0000558,0,2,0,3,1,6
OG0000559,0,1,1,3,1,6
OG0000560,0,2,2,1,1,6
OG0000561,0,1,4,1,0,6
OG0000562,0,2,1,2,1,6
OG0000563,0,1,4,1,0,6
OG0000564,0,1,4,1,0,6
OG0000565,0,1,4,1,0,6
OG0000566,0,1,4,1,0,6
OG0000567,0,2,0,3,1,6
OG0000568,0,1,2,2,1,6
OG0000569,0,1,1,1,3,6
OG0000570,0,1,4,1,0,6
OG0000571,0,1,4,1,0,6
OG0000572,0,1,2,1,2,6
OG0000573,0,0,6,0,0,6
OG0000574,0,0,6,0,0,6
OG0000575,0,0,6,0,0,6
OG0000576,0,0,3,1,2,6
OG0000577,0,0,0,0,6,6
OG0000578,0,0,0,0,6,6
OG0000579,2,2,0,1,0,5
OG0000580,1,1,1,1,1,5
OG0000581,1,1,1,1,1,5
OG0000582,1,1,1,1,1,5
OG0000583,1,0,4,0,0,5
OG0000584,1,1,1,1,1,5
OG0000585,1,1,1,1,1,5
OG0000586,1,1,1,1,1,5
OG0000587,1,1,1,1,1,5
OG0000588,1,1,1,1,1,5
OG0000589,1,1,1,1,1,5
OG0000590,1,1,1,1,1,5
OG0000591,1,1,1,1,1,5
OG0000592,1,1,1,1,1,5
OG0000593,1,1,1,1,1,5
OG0000594,2,1,0,2,0,5
OG0000595,1,1,1,1,1,5
OG0000596,1,1,1,1,1,5
OG0000597,1,1,2,1,0,5
OG0000598,1,1,1,1,1,5
OG0000599,1,1,1,1,1,5
OG0000600,1,1,1,1,1,5
OG0000601,1,1,1,1,1,5
OG0000602,5,0,0,0,0,5
OG0000603,1,1,1,1,1,5
OG0000604,1,1,1,1,1,5
OG0000605,1,1,1,1,1,5
OG0000606,1,1,1,1,1,5
OG0000607,1,1,1,1,1,5
OG0000608,1,1,1,1,1,5
OG0000609,1,1,1,1,1,5
OG0000610,1,1,1,1,1,5
OG0000611,1,1,1,1,1,5
OG0000612,1,1,1,1,1,5
OG0000613,1,1,1,1,1,5
OG0000614,1,1,1,1,1,5
OG0000615,1,1,1,1,1,5
OG0000616,1,1,1,1,1,5
OG0000617,1,1,1,1,1,5
OG0000618,1,1,1,1,1,5
OG0000619,1,1,1,1,1,5
OG0000620,1,1,1,1,1,5
OG0000621,1,1,1,1,1,5
OG0000622,1,1,1,1,1,5
OG0000623,1,1,1,1,1,5
OG0000624,1,1,1,1,1,5
OG0000625,1,1,1,1,1,5
OG0000626,1,1,1,1,1,5
OG0000627,1,1,1,1,1,5
OG0000628,1,1,1,1,1,5
OG0000629,1,1,1,1,1,5
OG0000630,1,1,0,1,2,5
OG0000631,1,1,0,1,2,5
OG0000632,1,1,1,1,1,5
OG0000633,1,1,1,1,1,5
OG0000634,1,1,1,1,1,5
OG0000635,1,1,1,1,1,5
OG0000636,1,1,1,1,1,5
OG0000637,1,1,1,1,1,5
OG0000638,1,1,1,1,1,5
OG0000639,1,1,1,1,1,5
OG0000640,1,1,1,1,1,5
OG0000641,1,1,1,1,1,5
OG0000642,1,1,1,1,1,5
OG0000643,1,1,1,1,1,5
OG0000644,1,1,1,1,1,5
OG0000645,1,1,1,1,1,5
OG0000646,1,1,1,1,1,5
OG0000647,1,1,1,1,1,5
OG0000648,1,1,2,1,0,5
OG0000649,1,1,1,1,1,5
OG0000650,1,1,1,1,1,5
OG0000651,1,1,1,1,1,5
OG0000652,1,1,1,1,1,5
OG0000653,1,1,1,1,1,5
OG0000654,1,1,1,1,1,5
OG0000655,1,1,1,1,1,5
OG0000656,1,1,1,1,1,5
OG0000657,1,1,1,1,1,5
OG0000658,1,1,1,1,1,5
OG0000659,1,1,1,1,1,5
OG0000660,1,1,1,1,1,5
OG0000661,1,1,1,1,1,5
OG0000662,1,1,1,1,1,5
OG0000663,1,1,1,1,1,5
OG0000664,1,1,1,1,1,5
OG0000665,1,1,1,1,1,5
OG0000666,1,1,1,1,1,5
OG0000667,1,1,1,1,1,5
OG0000668,1,1,1,1,1,5
OG0000669,1,1,1,1,1,5
OG0000670,1,1,1,1,1,5
OG0000671,1,1,1,1,1,5
OG0000672,1,1,1,2,0,5
OG0000673,1,1,1,1,1,5
OG0000674,1,1,1,1,1,5
OG0000675,1,1,1,1,1,5
OG0000676,1,1,1,1,1,5
OG0000677,1,1,1,1,1,5
OG0000678,1,1,1,2,0,5
OG0000679,1,1,1,1,1,5
OG0000680,1,1,1,1,1,5
OG0000681,1,1,1,1,1,5
OG0000682,1,1,1,1,1,5
OG0000683,1,1,1,1,1,5
OG0000684,1,1,1,1,1,5
OG0000685,1,1,1,1,1,5
OG0000686,1,1,1,1,1,5
OG0000687,1,1,1,1,1,5
OG0000688,1,1,1,1,1,5
OG0000689,1,1,1,1,1,5
OG0000690,1,1,1,1,1,5
OG0000691,1,1,1,1,1,5
OG0000692,1,1,1,1,1,5
OG0000693,1,1,1,1,1,5
OG0000694,1,1,2,1,0,5
OG0000695,1,1,1,1,1,5
OG0000696,1,1,2,1,0,5
OG0000697,1,1,1,1,1,5
OG0000698,1,2,1,1,0,5
OG0000699,1,1,1,1,1,5
OG0000700,1,1,1,1,1,5
OG0000701,1,1,1,2,0,5
OG0000702,1,1,1,1,1,5
